Id,Label,Description
P1,democrat,party
P2,republican,party
P3,libertarian,party
S1,CA,state
S2,MO,state
S3,MI,state
S4,TX,state
S5,NY,state
S6,FL,state
S7,IL,state
S8,CO,state
E1,University of California at Riverside,education
E2,Harvard College,education
E3,University of Maryland School of Law,education
E4,University of Maryland,education
E5,University of Missouri at Columbia,education
E6,Harvard University,education
E7,Hope College,education
E8,Georgetown University,education
E9,Texas Tech University,education
E10,University of Southern California Keck School of Medicine,education
E11,California State University at Dominguez Hills,education
E12,University of Texas at Austin,education
E13,Georgetown University Law Center,education
E14,Boston University,education
E15,University of Texas,education
E16,University of Texas Medical School,education
E17,North Texas State University,education
E18,University of South Dakota,education
E19,Calvin College,education
E20,Howard University Law School,education
E21,Adelphi University,education
E22,California Polytechnic State University-San Luis Obispo,education
E23,College of the Sequoias,education
E24,Wheaton College Graduate School,education
E25,Taylor University,education
E26,Western Illinois University,education
E27,Houston Baptist University,education
E28,Texas A&M University,education
E29,University of California at Santa Barbara,education
E30,Fielding University,education
E31,State University of New York at Albany,education
E32,Michigan State University,education
E33,Wayne State University School of Law,education
E34,University of Detroit,education
E35,Alma College,education
E36,University of Texas Law School,education
E37,California State University,education
E38,California State University at Bakersfield,education
E39,Bakersfield College,education
E40,Central Missouri State University,education
E41,Harvard University at Cambridge,education
E42,Harvard University Kennedy School of Government,education
E43,University of California at Los Angeles,education
E44,Mohawk Valley Community College,education
E45,Siena College,education
E46,Union University,education
E47,Princeton University,education
E48,Loras College,education
E49,University of Colorado,education
E50,Colorado State University,education
E51,University of Michigan,education
E52,Williams College,education
E53,Yale University,education
E54,Wesleyan University,education
E55,University of Virginia,education
E56,Saint Mary's University,education
E57,Trinity University,education
E58,Rice University,education
E59,Harvard University Law School,education
E60,Stanford University,education
E61,Lamar University,education
E62,Northwestern University Kellogg School of Management,education
E63,Northwestern University,education
E64,American University,education
E65,Baylor University,education
E66,University of California School of Law at Berkeley,education
E67,Florida State University,education
E68,Florida Agricultural and Mechanical (A&M) University,education
E69,University of Florida,education
E70,University of South Florida,education
E71,Prairie View Agricultural and Mechanical University,education
E72,Columbia University School of International and Public Affairs,education
E73,American University of Cairo,education
E74,Cornell University,education
E75,Florida Agricultural and Mechanical University,education
E76,Howard University,education
E77,Fisk University,education
E78,University of Miami,education
E79,Northern Illinois University,education
E80,Bradley University,education
E81,Laredo Community College,education
E82,University of Southern California Gould School of Law,education
E83,University of California,education
E84,Harvard University School of Law,education
E85,Texas Wesleyan University School of Law,education
E86,Embry Riddle Aeronautical University,education
E87,Del Mar College,education
E88,Texas Southern University,education
E89,University of California at Los Angeles (UCLA),education
E90,University of California at Irvine,education
E91,University of Houston,education
E92,Alvin Community College,education
E93,University of Michigan Law School,education
E94,University of Chicago,education
E95,University of Colorado at Boulder,education
E96,University of Illinois at Chicago,education
E97,University of Denver,education
E98,University of Wisconsin at Madison,education
E99,University of California at Berkeley,education
E100,Mills College,education
E101,Ohio State University,education
E102,Hobart and William Smith Colleges,education
E103,Central Michigan University,education
E104,Ohio Northern University,education
E105,Alfred University,education
E106,Florence State University,education
E107,University of Florida College of Veterinary Medicine,education
